"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 08","72.46","72.87","74.31","72.04","-","-0.58%"
"May 08","72.88","72.57","73.89","71.82","-","0.51%"
"Apr 08","72.51","71.87","73.11","71.19","-","0.99%"
"Mar 08","71.80","73.75","73.95","70.70","-","-2.59%"
"Feb 08","73.71","75.23","77.04","73.56","-","-1.96%"
"Jan 08","75.18","76.35","77.35","74.97","-","-1.97%"
"Dec 07","76.69","75.93","77.85","75.59","-","0.71%"
"Nov 07","76.15","76.61","76.87","74.48","-","-0.43%"
"Oct 07","76.48","77.79","78.89","76.47","-","-1.60%"
"Sep 07","77.72","80.81","81.14","77.67","-","-3.80%"
"Aug 07","80.79","80.90","82.13","79.96","-","0.02%"
"Jul 07","80.77","81.87","81.95","80.02","-","-1.40%"
"Jun 07","81.92","82.31","83.27","81.70","-","-0.46%"
"May 07","82.30","81.42","82.60","81.25","-","1.04%"
"Apr 07","81.45","82.91","83.21","81.27","-","-1.78%"
"Mar 07","82.93","83.62","84.38","82.64","-","-0.77%"
"Feb 07","83.57","84.65","85.21","83.40","-","-1.23%"
"Jan 07","84.61","83.46","85.43","83.15","-","1.06%"
"Dec 06","83.72","82.91","84.22","82.24","-","0.96%"
"Nov 06","82.92","85.29","85.93","82.79","-","-2.81%"
"Oct 06","85.32","86.01","87.30","85.21","-","-0.76%"
"Sep 06","85.97","85.09","86.22","84.73","-","1.08%"
"Aug 06","85.05","85.28","85.75","84.39","-","-0.29%"
"Jul 06","85.30","85.20","87.33","84.77","-","0.09%"
"Jun 06","85.22","84.68","87.05","83.72","-","0.59%"
"May 06","84.72","85.93","86.36","83.60","-","-1.61%"
"Apr 06","86.11","89.74","90.40","86.00","-","-4.03%"
"Mar 06","89.73","90.08","91.16","88.85","-","-0.42%"
"Feb 06","90.11","88.96","91.02","88.84","-","1.29%"
"Jan 06","88.96","90.75","90.94","87.83","-","-2.42%"
"Dec 05","91.17","91.54","92.32","89.52","-","-0.44%"
"Nov 05","91.57","90.12","92.63","89.62","-","1.67%"
"Oct 05","90.07","89.51","90.74","88.53","-","0.61%"
"Sep 05","89.52","87.59","89.82","86.02","-","2.22%"
"Aug 05","87.58","89.41","89.44","86.76","-","-1.98%"
"Jul 05","89.35","89.17","90.77","88.28","-","0.27%"
"Jun 05","89.11","87.74","89.48","87.15","-","1.54%"
"May 05","87.76","84.46","87.80","83.75","-","3.94%"
"Apr 05","84.43","84.07","85.32","83.36","-","0.44%"
"Mar 05","84.06","82.65","84.74","81.28","-","1.88%"
"Feb 05","82.51","83.49","85.44","82.30","-","-1.30%"
"Jan 05","83.60","81.05","84.08","80.77","-","3.40%"
"Dec 04","80.85","81.81","83.18","80.39","-","-1.19%"
"Nov 04","81.82","84.70","85.66","81.53","-","-3.64%"
"Oct 04","84.91","87.41","88.64","84.73","-","-2.80%"
"Sep 04","87.36","88.91","89.75","87.35","-","-1.78%"
"Aug 04","88.94","89.71","90.19","87.66","-","-1.13%"
"Jul 04","89.96","88.84","90.29","87.00","-","1.31%"
"Jun 04","88.80","88.64","90.42","88.04","-","-0.17%"
"May 04","88.95","90.63","92.29","88.47","-","-1.69%"
"Apr 04","90.48","87.57","91.56","87.02","-","3.28%"
"Mar 04","87.61","87.10","89.84","87.03","-","0.34%"
"Feb 04","87.31","87.14","88.02","84.56","-","0.13%"
"Jan 04","87.20","86.79","88.07","84.80","-","0.32%"
"Dec 03","86.92","90.16","90.54","86.36","-","-3.65%"
"Nov 03","90.21","92.64","94.13","90.04","-","-2.72%"
"Oct 03","92.73","92.73","93.42","91.01","-","-0.13%"
"Sep 03","92.85","97.88","99.37","92.10","-","-5.35%"
"Aug 03","98.10","96.87","99.49","95.56","-","1.25%"
"Jul 03","96.89","94.54","97.45","93.96","-","2.28%"
"Jun 03","94.73","93.73","95.34","91.88","-","1.57%"
"May 03","93.27","97.18","97.25","92.21","-","-4.03%"
"Apr 03","97.19","98.86","101.81","97.10","-","-1.89%"
"Mar 03","99.06","99.74","102.15","97.57","-","-0.65%"
"Feb 03","99.71","100.26","100.89","98.65","-","-0.20%"
"Jan 03","99.91","102.36","103.20","98.76","-","-1.90%"
"Dec 02","101.85","106.57","107.31","101.82","-","-4.29%"
"Nov 02","106.41","106.55","106.97","104.12","-","-0.22%"
"Oct 02","106.64","106.74","108.74","106.54","-","-0.22%"
"Sep 02","106.87","106.43","109.67","105.41","-","-0.10%"
"Aug 02","106.98","107.61","109.00","106.18","-","-0.40%"
"Jul 02","107.41","105.76","107.88","103.54","-","1.23%"
